participantId,condition,phase,trialIndex,targetWord,typedWord,accuracy,reactionTimeMs,typingTimeMs,totalTimeMs,timestamp,baselineTypingSpeedMs,logReactionTime
p03,auditory,experimental,6,cup,cup,1,1176,562,1738,2026-03-25T15:45:20.980Z,500.9,7.069874128458572
p03,auditory,experimental,7,red,red,1,1073,454,1528,2026-03-25T15:45:24.521Z,500.9,6.9782137426306985
p03,auditory,experimental,8,box,box,1,1203,555,1758,2026-03-25T15:45:28.286Z,500.9,7.0925737159746784
p03,auditory,experimental,9,pen,pen,1,1764,486,2250,2026-03-25T15:45:32.543Z,500.9,7.475339236566737
p03,auditory,experimental,10,top,top,1,1277,575,1852,2026-03-25T15:45:36.402Z,500.9,7.152268856032539
p03,auditory,experimental,11,map,map,1,1176,472,1647,2026-03-25T15:45:40.055Z,500.9,7.069874128458572
p03,auditory,experimental,12,bed,bed,1,1359,1123,2482,2026-03-25T15:45:44.546Z,500.9,7.214504414151143
p03,auditory,experimental,13,log,log,1,1390,529,1920,2026-03-25T15:45:48.482Z,500.9,7.237059026124737
p03,auditory,experimental,14,fin,fin,1,2023,516,2539,2026-03-25T15:45:53.036Z,500.9,7.612336837167746
p03,auditory,experimental,15,jam,jam,1,1352,479,1831,2026-03-25T15:45:56.881Z,500.9,7.20934025660291
p03,auditory,experimental,16,net,net,1,1254,348,1602,2026-03-25T15:46:00.490Z,500.9,7.134093721192866
p03,auditory,experimental,17,pin,pin,1,1245,596,1841,2026-03-25T15:46:04.342Z,500.9,7.126890808898808
p03,auditory,experimental,18,rug,rug,1,1120,676,1796,2026-03-25T15:46:08.160Z,500.9,7.02108396428914
p03,auditory,experimental,19,van,van,1,2039,1222,3261,2026-03-25T15:46:13.432Z,500.9,7.620214770574455
p03,auditory,experimental,20,zip,zip,1,3231,534,3765,2026-03-25T15:46:19.216Z,500.9,8.080546965824498
p05,auditory,experimental,6,cup,cup,1,1641,910,2551,2026-03-25T16:28:54.052Z,1015.3,7.403061091090091
p05,auditory,experimental,7,red,red,1,1570,865,2435,2026-03-25T16:28:58.503Z,1015.3,7.358830898342354
p05,auditory,experimental,8,box,box,1,1642,775,2417,2026-03-25T16:29:02.935Z,1015.3,7.403670290012373
p05,auditory,experimental,9,pen,pen,1,1658,513,2171,2026-03-25T16:29:07.122Z,1015.3,7.41336733569524
p05,auditory,experimental,10,top,top,1,1617,818,2435,2026-03-25T16:29:11.577Z,1015.3,7.388327859577107
p05,auditory,experimental,11,map,map,1,1379,554,1933,2026-03-25T16:29:15.532Z,1015.3,7.229113877793302
p05,auditory,experimental,12,bed,bad,0,1983,1031,3013,2026-03-25T16:29:20.563Z,1015.3,7.592366128519796
p05,auditory,experimental,13,log,log,1,1425,605,2030,2026-03-25T16:29:24.604Z,1015.3,7.261927092702751
p05,auditory,experimental,14,fin,fin,1,2516,628,3144,2026-03-25T16:29:29.768Z,1015.3,7.830425617820331
p05,auditory,experimental,15,jam,jam,1,1257,678,1935,2026-03-25T16:29:33.712Z,1015.3,7.136483208590247
p05,auditory,experimental,16,net,net,1,1591,589,2181,2026-03-25T16:29:37.904Z,1015.3,7.372118028337787
p05,auditory,experimental,17,pin,pin,1,2178,1247,3425,2026-03-25T16:29:43.349Z,1015.3,7.686162303492906
p05,auditory,experimental,18,rug,rug,1,2317,397,2714,2026-03-25T16:29:48.069Z,1015.3,7.748028524432376
p05,auditory,experimental,19,van,van,1,2413,501,2914,2026-03-25T16:29:52.988Z,1015.3,7.788626065625031
p05,auditory,experimental,20,zip,zip,1,939,931,1870,2026-03-25T16:29:56.867Z,1015.3,6.844815479208263
p07,auditory,experimental,6,cup,cup,1,1253,3248,4500,2026-03-26T17:36:04.934Z,589.3,7.133295954896068
p07,auditory,experimental,7,red,red,1,1466,789,2255,2026-03-26T17:36:09.199Z,589.3,7.290292882446597
p07,auditory,experimental,8,box,box,1,1500,501,2001,2026-03-26T17:36:13.209Z,589.3,7.313220387090301
p07,auditory,experimental,9,pen,ham,0,1404,438,1842,2026-03-26T17:36:17.058Z,589.3,7.247080584585756
p07,auditory,experimental,10,top,top,1,2482,553,3035,2026-03-26T17:36:22.102Z,589.3,7.816819965764552
p07,auditory,experimental,11,map,map,1,1390,406,1797,2026-03-26T17:36:25.914Z,589.3,7.237059026124737
p07,auditory,experimental,12,bed,bed,1,2295,418,2713,2026-03-26T17:36:30.636Z,589.3,7.738488122494646
p07,auditory,experimental,13,log,log,1,1411,395,1806,2026-03-26T17:36:34.446Z,589.3,7.252053951852814
p07,auditory,experimental,14,fin,bin,0,1184,512,1695,2026-03-26T17:36:38.154Z,589.3,7.076653815443951
p07,auditory,experimental,15,jam,jam,1,1468,380,1847,2026-03-26T17:36:42.013Z,589.3,7.291656209174461
p07,auditory,experimental,16,net,net,1,2510,620,3129,2026-03-26T17:36:47.154Z,589.3,7.828038032125829
p07,auditory,experimental,17,pin,pin,1,2671,576,3247,2026-03-26T17:36:52.413Z,589.3,7.890208213109961
p07,auditory,experimental,18,rug,rug,1,1227,369,1597,2026-03-26T17:36:56.017Z,589.3,7.112327444710911
p07,auditory,experimental,19,van,van,1,1680,2922,4602,2026-03-26T17:37:02.626Z,589.3,7.426549072397305
p07,auditory,experimental,20,zip,zip,1,2849,492,3341,2026-03-26T17:37:07.981Z,589.3,7.954723334497908
p09,auditory,experimental,6,cup,come,0,1588,277,1866,2026-03-26T17:53:51.441Z,371.6,7.370230641807081
p09,auditory,experimental,7,red,re,0,973,271,1243,2026-03-26T17:53:54.705Z,371.6,6.880384082186005
p09,auditory,experimental,8,box,fox,0,1306,332,1638,2026-03-26T17:53:58.349Z,371.6,7.174724309836376
p09,auditory,experimental,9,pen,hen,0,2376,339,2715,2026-03-26T17:54:03.073Z,371.6,7.773173680482536
p09,auditory,experimental,10,top,top,1,1131,409,1540,2026-03-26T17:54:06.628Z,371.6,7.030857476116121
p09,auditory,experimental,11,map,map,1,2011,383,2394,2026-03-26T17:54:11.030Z,371.6,7.606387389772652
p09,auditory,experimental,12,bed,bed,1,1947,259,2206,2026-03-26T17:54:15.249Z,371.6,7.574045005372199
p09,auditory,experimental,13,log,log,1,1374,339,1713,2026-03-26T17:54:18.974Z,371.6,7.2254814727822945
p09,auditory,experimental,14,fin,fin,1,1828,322,2150,2026-03-26T17:54:23.135Z,371.6,7.510977752014095
p09,auditory,experimental,15,jam,jam,1,1110,413,1523,2026-03-26T17:54:26.666Z,371.6,7.01211529430638
p09,auditory,experimental,16,net,net,1,1404,394,1797,2026-03-26T17:54:30.473Z,371.6,7.247080584585756
p09,auditory,experimental,17,pin,pin,1,1116,336,1452,2026-03-26T17:54:33.935Z,371.6,7.017506142941256
p09,auditory,experimental,18,rug,rug,1,1155,286,1441,2026-03-26T17:54:37.383Z,371.6,7.051855622955894
p09,auditory,experimental,19,van,van,1,1158,1222,2379,2026-03-26T17:54:41.771Z,371.6,7.05444965813294
p09,auditory,experimental,20,zip,zip,1,2145,372,2517,2026-03-26T17:54:46.296Z,371.6,7.670894831362117
p11,auditory,experimental,6,cup,cup,1,1368,384,1752,2026-03-26T23:44:21.877Z,1063.7,7.221105098182496
p11,auditory,experimental,7,red,red,1,2026,284,2310,2026-03-26T23:44:26.199Z,1063.7,7.613818684808629
p11,auditory,experimental,8,box,box,1,1481,406,1887,2026-03-26T23:44:30.099Z,1063.7,7.300472814267799
p11,auditory,experimental,9,pen,pen,1,1562,340,1902,2026-03-26T23:44:34.008Z,1063.7,7.353722330399631
p11,auditory,experimental,10,top,top,1,1060,566,1626,2026-03-26T23:44:37.645Z,1063.7,6.966024187106113
p11,auditory,experimental,11,map,map,1,1782,1878,3659,2026-03-26T23:44:43.320Z,1063.7,7.485491608030754
p11,auditory,experimental,12,bed,bed,1,1459,251,1709,2026-03-26T23:44:47.040Z,1063.7,7.285506548522785
p11,auditory,experimental,13,log,lg,0,1308,318,1626,2026-03-26T23:44:50.681Z,1063.7,7.176254532017144
p11,auditory,experimental,14,fin,fin,1,1748,590,2337,2026-03-26T23:44:55.028Z,1063.7,7.466227556215481
p11,auditory,experimental,15,jam,jam,1,2239,508,2748,2026-03-26T23:44:59.790Z,1063.7,7.713784616598755
p11,auditory,experimental,16,net,net,1,1151,987,2137,2026-03-26T23:45:03.943Z,1063.7,7.048386408721883
p11,auditory,experimental,17,pin,pin,1,1607,594,2201,2026-03-26T23:45:08.150Z,1063.7,7.382124365737512
p11,auditory,experimental,18,rug,rug,1,1260,1157,2417,2026-03-26T23:45:12.577Z,1063.7,7.138866999945524
p11,auditory,experimental,19,van,van,1,1642,261,1903,2026-03-26T23:45:16.503Z,1063.7,7.403670290012373
p11,auditory,experimental,20,zip,zip,1,1549,1741,3291,2026-03-26T23:45:21.801Z,1063.7,7.345364840416867
p13,auditory,experimental,6,cup,come,0,1390,421,1811,2026-04-01T22:18:21.985Z,426.6,7.237059026124737
p13,auditory,experimental,7,red,red,1,1795,978,2773,2026-04-01T22:18:26.764Z,426.6,7.492760300922379
p13,auditory,experimental,8,box,box,1,1682,328,2011,2026-04-01T22:18:30.785Z,426.6,7.427738840532894
p13,auditory,experimental,9,pen,pin,0,1019,434,1453,2026-04-01T22:18:34.242Z,426.6,6.926577033222725
p13,auditory,experimental,10,top,tone,0,1443,1669,3112,2026-04-01T22:18:39.368Z,426.6,7.274479558773871
p13,auditory,experimental,11,map,map,1,1270,383,1653,2026-04-01T22:18:43.043Z,426.6,7.146772179452637
p13,auditory,experimental,12,bed,bin,0,1119,385,1504,2026-04-01T22:18:46.560Z,426.6,7.020190708311925
p13,auditory,experimental,13,log,log,1,1128,344,1472,2026-04-01T22:18:50.045Z,426.6,7.028201432058005
p13,auditory,experimental,14,fin,vipe,0,2373,1106,3478,2026-04-01T22:18:55.541Z,426.6,7.771910256435763
p13,auditory,experimental,15,jam,jam,1,1286,337,1624,2026-04-01T22:18:59.179Z,426.6,7.1592919047975645
p13,auditory,experimental,16,net,neck,0,1464,483,1947,2026-04-01T22:19:03.136Z,426.6,7.288927694521257
p13,auditory,experimental,17,pin,pin,1,986,463,1449,2026-04-01T22:19:06.596Z,426.6,6.893656354602635
p13,auditory,experimental,18,rug,rug,1,1029,405,1434,2026-04-01T22:19:10.044Z,426.6,6.9363427358340495
p13,auditory,experimental,19,van,bag,0,1488,366,1854,2026-04-01T22:19:13.917Z,426.6,7.305188215393037
p13,auditory,experimental,20,zip,swim,0,1351,542,1892,2026-04-01T22:19:17.821Z,426.6,7.208600337960199
p15,auditory,experimental,6,cup,cup,1,2111,1135,3246,2026-04-02T17:16:52.103Z,394.6,7.65491704784832
p15,auditory,experimental,7,red,red,1,1158,268,1426,2026-04-02T17:16:55.536Z,394.6,7.05444965813294
p15,auditory,experimental,8,box,box,1,1037,377,1413,2026-04-02T17:16:58.961Z,394.6,6.944087208229528
p15,auditory,experimental,9,pen,pen,1,2080,356,2436,2026-04-02T17:17:03.409Z,394.6,7.640123172695364
p15,auditory,experimental,10,top,top,1,1927,1077,3004,2026-04-02T17:17:08.425Z,394.6,7.563719668414366
p15,auditory,experimental,11,map,map,1,1304,1026,2330,2026-04-02T17:17:12.761Z,394.6,7.173191742486599
p15,auditory,experimental,12,bed,bed,1,1884,1593,3477,2026-04-02T17:17:18.249Z,394.6,7.541152455136308
p15,auditory,experimental,13,log,log,1,1224,358,1581,2026-04-02T17:17:21.851Z,394.6,7.109879463072272
p15,auditory,experimental,14,fin,fin,1,1124,355,1479,2026-04-02T17:17:25.342Z,394.6,7.024649030453636
p15,auditory,experimental,15,jam,jam,1,963,505,1468,2026-04-02T17:17:28.822Z,394.6,6.870053411798126
p15,auditory,experimental,16,net,net,1,1624,353,1977,2026-04-02T17:17:32.814Z,394.6,7.392647520721623
p15,auditory,experimental,17,pin,pin,1,2389,666,3055,2026-04-02T17:17:37.892Z,394.6,7.77863014732581
p15,auditory,experimental,18,rug,rug,1,1404,429,1834,2026-04-02T17:17:41.737Z,394.6,7.247080584585756
p15,auditory,experimental,19,van,van,1,1335,2027,3362,2026-04-02T17:17:47.103Z,394.6,7.19668657083435
p15,auditory,experimental,20,zip,zip,1,1827,836,2663,2026-04-02T17:17:51.775Z,394.6,7.510430556378006
p19,auditory,experimental,6,cup,cup,1,2688,391,3079,2026-04-02T18:38:53.836Z,414.3,7.89655270164304
p19,auditory,experimental,7,red,red,1,1458,443,1901,2026-04-02T18:38:57.746Z,414.3,7.284820912568604
p19,auditory,experimental,8,box,fox,0,1681,475,2156,2026-04-02T18:39:01.909Z,414.3,7.427144133408616
p19,auditory,experimental,9,pen,pin,0,1683,485,2168,2026-04-02T18:39:06.087Z,414.3,7.428333194190806
p19,auditory,experimental,10,top,chop,0,1699,824,2523,2026-04-02T18:39:10.618Z,414.3,7.4377951216719325
p19,auditory,experimental,11,map,map,1,2210,1444,3654,2026-04-02T18:39:16.298Z,414.3,7.700747794511798
p19,auditory,experimental,12,bed,bed,1,2260,647,2907,2026-04-02T18:39:21.209Z,414.3,7.723120092266331
p19,auditory,experimental,13,log,log,1,1674,349,2023,2026-04-02T18:39:25.250Z,414.3,7.422971251049421
p19,auditory,experimental,14,fin,fin,1,1566,429,1995,2026-04-02T18:39:29.255Z,414.3,7.356279876550748
p19,auditory,experimental,15,jam,jam,1,1433,337,1769,2026-04-02T18:39:33.037Z,414.3,7.267525427828172
p19,auditory,experimental,16,net,net,1,1760,732,2492,2026-04-02T18:39:37.540Z,414.3,7.473069088032197
p19,auditory,experimental,17,pin,pin,1,1750,438,2188,2026-04-02T18:39:41.748Z,414.3,7.467371066917559
p19,auditory,experimental,18,rug,rug,1,1542,372,1913,2026-04-02T18:39:45.672Z,414.3,7.340835554123275
p19,auditory,experimental,19,van,van,1,2682,373,3054,2026-04-02T18:39:50.741Z,414.3,7.894318063841624
p19,auditory,experimental,20,zip,zip,1,1937,453,2390,2026-04-02T18:39:55.146Z,414.3,7.5688956634069955
p23,auditory,experimental,6,cup,cup,1,2050,349,2399,2026-04-02T21:00:57.340Z,672.6,7.625595072132453
p23,auditory,experimental,7,red,red,1,1823,339,2162,2026-04-02T21:01:01.518Z,672.6,7.508238774678663
p23,auditory,experimental,8,box,box,1,1728,281,2009,2026-04-02T21:01:05.540Z,672.6,7.454719949364001
p23,auditory,experimental,9,pen,pen,1,1226,353,1579,2026-04-02T21:01:09.126Z,672.6,7.111512116496157
p23,auditory,experimental,10,top,top,1,1442,284,1726,2026-04-02T21:01:12.864Z,672.6,7.273786317844895
p23,auditory,experimental,11,map,map,1,1661,1486,3147,2026-04-02T21:01:18.020Z,672.6,7.415175109613295
p23,auditory,experimental,12,bed,bed,1,1662,2292,3953,2026-04-02T21:01:23.984Z,672.6,7.415776975415394
p23,auditory,experimental,13,log,log,1,1838,1252,3091,2026-04-02T21:01:29.095Z,672.6,7.516433302915632
p23,auditory,experimental,14,fin,bin,0,1726,285,2011,2026-04-02T21:01:33.115Z,672.6,7.453561871643373
p23,auditory,experimental,15,jam,jam,1,974,433,1407,2026-04-02T21:01:36.540Z,672.6,6.881411303642535
p23,auditory,experimental,16,net,net,1,1097,643,1740,2026-04-02T21:01:40.294Z,672.6,7.00033446027523
p23,auditory,experimental,17,pin,pin,1,764,438,1203,2026-04-02T21:01:43.507Z,672.6,6.638567789166521
p23,auditory,experimental,18,rug,rug,1,1207,282,1488,2026-04-02T21:01:47.009Z,672.6,7.095893221097532
p23,auditory,experimental,19,van,van,1,1146,368,1514,2026-04-02T21:01:50.539Z,672.6,7.044032897274685
p23,auditory,experimental,20,zip,zip,1,685,287,972,2026-04-02T21:01:53.526Z,672.6,6.529418838262226
p25,auditory,experimental,6,cup,cup,1,1212,993,2204,2026-04-02T21:14:15.117Z,1363.9,7.10002716662926
p25,auditory,experimental,7,red,red,1,1192,553,1745,2026-04-02T21:14:18.885Z,1363.9,7.083387847625295
p25,auditory,experimental,8,box,fox,0,2029,799,2828,2026-04-02T21:14:23.726Z,1363.9,7.615298339825815
p25,auditory,experimental,9,pen,pen,1,1733,726,2460,2026-04-02T21:14:28.207Z,1363.9,7.457609289715606
p25,auditory,experimental,10,top,top,1,1271,966,2237,2026-04-02T21:14:32.451Z,1363.9,7.147559271189454
p25,auditory,experimental,11,map,map,1,1008,817,1825,2026-04-02T21:14:36.297Z,1363.9,6.915723448631314
p25,auditory,experimental,12,bed,bed,1,3331,592,3923,2026-04-02T21:14:42.230Z,1363.9,8.11102783819368
p25,auditory,experimental,13,log,log,1,2336,2835,5171,2026-04-02T21:14:49.415Z,1363.9,7.756195343948118
p25,auditory,experimental,14,fin,fin,1,2110,673,2783,2026-04-02T21:14:54.215Z,1363.9,7.654443226470112
p25,auditory,experimental,15,jam,jam,1,2390,809,3199,2026-04-02T21:14:59.427Z,1363.9,7.779048644925556
p25,auditory,experimental,16,net,net,1,1751,593,2345,2026-04-02T21:15:03.782Z,1363.9,7.467942332285852
p25,auditory,experimental,17,pin,pin,1,2016,876,2892,2026-04-02T21:15:08.687Z,1363.9,7.60887062919126
p25,auditory,experimental,18,rug,rug,1,1321,985,2306,2026-04-02T21:15:13.001Z,1363.9,7.186144304522325
p25,auditory,experimental,19,van,van,1,1383,968,2352,2026-04-02T21:15:17.364Z,1363.9,7.232010331664759
p25,auditory,experimental,20,zip,zip,1,2043,664,2707,2026-04-02T21:15:22.088Z,1363.9,7.622174594817622
p27,auditory,experimental,6,cup,cup,1,1410,2754,4164,2026-04-03T04:34:38.708Z,622.3,7.251344983372214
p27,auditory,experimental,7,red,red,1,1550,1141,2691,2026-04-03T04:34:43.404Z,622.3,7.346010209913293
p27,auditory,experimental,8,box,box,1,1288,528,1816,2026-04-03T04:34:47.230Z,622.3,7.160845906664299
p27,auditory,experimental,9,pen,pen,1,1093,621,1714,2026-04-03T04:34:50.952Z,622.3,6.996681488176539
p27,auditory,experimental,10,top,top,1,1504,790,2294,2026-04-03T04:34:55.257Z,622.3,7.315883504509785
p27,auditory,experimental,11,map,map,1,2196,481,2677,2026-04-03T04:34:59.949Z,622.3,7.694392802629421
p27,auditory,experimental,12,bed,bed,1,2313,511,2823,2026-04-03T04:35:04.787Z,622.3,7.746300662231439
p27,auditory,experimental,13,log,log,1,1156,1416,2572,2026-04-03T04:35:09.367Z,622.3,7.052721049232323
p27,auditory,experimental,14,fin,fin,1,2675,909,3583,2026-04-03T04:35:14.962Z,622.3,7.891704659330107
p27,auditory,experimental,15,jam,jam,1,1127,554,1681,2026-04-03T04:35:18.647Z,622.3,7.027314514039777
p27,auditory,experimental,16,net,net,1,1557,1117,2674,2026-04-03T04:35:23.336Z,622.3,7.350516171833998
p27,auditory,experimental,17,pin,pen,0,1311,1015,2326,2026-04-03T04:35:27.670Z,622.3,7.1785454837637
p27,auditory,experimental,18,rug,run,0,1135,3482,4617,2026-04-03T04:35:34.295Z,622.3,7.034387929915503
p27,auditory,experimental,19,van,van,1,2028,519,2547,2026-04-03T04:35:38.850Z,622.3,7.614805364711073
p27,auditory,experimental,20,zip,zip,1,1610,2496,4106,2026-04-03T04:35:44.967Z,622.3,7.383989457978509
p29,auditory,experimental,6,cup,cup,1,1244,854,2098,2026-04-04T16:39:05.929Z,772.2,7.126087273299125
p29,auditory,experimental,7,red,ran,0,1276,574,1849,2026-04-04T16:39:09.782Z,772.2,7.151485463904735
p29,auditory,experimental,8,box,bo,0,1283,578,1861,2026-04-04T16:39:13.657Z,772.2,7.1569563646156364
p29,auditory,experimental,9,pen,pen,1,1048,502,1550,2026-04-04T16:39:17.235Z,772.2,6.954638864880987
p29,auditory,experimental,10,top,top,1,925,554,1479,2026-04-04T16:39:20.717Z,772.2,6.829793737512425
p29,auditory,experimental,11,map,map,1,926,402,1328,2026-04-04T16:39:24.047Z,772.2,6.83087423464618
p29,auditory,experimental,12,bed,bed,1,1361,348,1709,2026-04-04T16:39:27.760Z,772.2,7.215975002651466
p29,auditory,experimental,13,log,log,1,1142,415,1557,2026-04-04T16:39:31.320Z,772.2,7.040536390215956
p29,auditory,experimental,14,fin,bin,0,2444,471,2915,2026-04-04T16:39:36.237Z,772.2,7.801391320291485
p29,auditory,experimental,15,jam,jam,1,1383,613,1996,2026-04-04T16:39:40.237Z,772.2,7.232010331664759
p29,auditory,experimental,16,net,net,1,1206,310,1516,2026-04-04T16:39:43.759Z,772.2,7.095064377287131
p29,auditory,experimental,17,pin,pin,1,1993,515,2508,2026-04-04T16:39:48.270Z,772.2,7.597396320212795
p29,auditory,experimental,18,rug,rug,1,1871,359,2230,2026-04-04T16:39:52.504Z,772.2,7.534228326274089
p29,auditory,experimental,19,van,bag,0,2517,376,2893,2026-04-04T16:39:57.400Z,772.2,7.830822995135316
p29,auditory,experimental,20,zip,zip,1,989,782,1772,2026-04-04T16:40:01.175Z,772.2,6.8966943316227125
p30,auditory,experimental,6,cup,cup,1,1205,478,1683,2026-04-04T16:43:04.310Z,458.7,7.094234845924755
p30,auditory,experimental,7,red,red,1,999,556,1555,2026-04-04T16:43:07.869Z,458.7,6.906754778648554
p30,auditory,experimental,8,box,box,1,1119,363,1482,2026-04-04T16:43:11.363Z,458.7,7.020190708311925
p30,auditory,experimental,9,pen,pen,1,1086,416,1502,2026-04-04T16:43:14.881Z,458.7,6.990256500493881
p30,auditory,experimental,10,top,top,1,956,363,1320,2026-04-04T16:43:18.206Z,458.7,6.862757913051401
p30,auditory,experimental,11,map,map,1,963,396,1358,2026-04-04T16:43:21.575Z,458.7,6.870053411798126
p30,auditory,experimental,12,bed,bed,1,960,407,1367,2026-04-04T16:43:24.947Z,458.7,6.866933284461882
p30,auditory,experimental,13,log,log,1,911,398,1309,2026-04-04T16:43:28.269Z,458.7,6.814542897259958
p30,auditory,experimental,14,fin,bin,0,1213,433,1646,2026-04-04T16:43:31.919Z,458.7,7.10085190894405
p30,auditory,experimental,15,jam,jam,1,1069,413,1483,2026-04-04T16:43:35.407Z,458.7,6.974478911025045
p30,auditory,experimental,16,net,net,1,892,305,1197,2026-04-04T16:43:38.612Z,458.7,6.79346613258001
p30,auditory,experimental,17,pin,pin,1,1253,3404,4657,2026-04-04T16:43:45.271Z,458.7,7.133295954896068
p30,auditory,experimental,18,rug,rug,1,991,413,1404,2026-04-04T16:43:48.679Z,458.7,6.898714534329988
p30,auditory,experimental,19,van,van,1,1434,407,1841,2026-04-04T16:43:52.523Z,458.7,7.268223021159565
p30,auditory,experimental,20,zip,zip,1,1173,344,1517,2026-04-04T16:43:56.042Z,458.7,7.067319848653476
